name,slug,brand,sku,price,comparePrice,discountedPrice,currency,inStock,inventoryStatus,quantity,availableForPreOrder,ribbon,productType,weight,url
Pokemon 2023 World Championship Deck Display,pokemon-2023-world-championship-deck-display,Pokemon,PKMN-WCD2023,110,0,110,USD,true,in_stock,7,false,,physical,5,https://www.pokene.com/product-page/pokemon-2023-world-championship-deck-display
X10 Dragon Shield Matte Non-Glare Clear (100ct) Protective Sleeves,x10-dragon-shield-matte-non-glare-clear-100ct-protective-sleeves,Ultra Pro,,80,0,80,USD,true,in_stock,10,false,,physical,0.5,https://www.pokene.com/product-page/x10-dragon-shield-matte-non-glare-clear-100ct-protective-sleeves
Barboach to the Moon Ultra Premium Hoodie - All Profits to WWF,barboach-to-the-moon-ultra-premium-hoodie-all-profits-to-wwf,,,60.69,0,60.69,USD,true,in_stock,0,false,,physical,0,https://www.pokene.com/product-page/barboach-to-the-moon-ultra-premium-hoodie-all-profits-to-wwf
Pokemon Mega Charizard Y Tin,pokemon-tcg-mega-charizard-tin,Pokemon,PKMN-CHARIZARDY-TIN,39.95,0,39.95,USD,false,in_stock,0,false,,physical,1,https://www.pokene.com/product-page/pokemon-tcg-mega-charizard-tin
Pokemon Mega Moonlit Tin - Clefable,pokemon-mega-moonlit-tin-clefable,Pokemon,,38.9,23.9,23.9,USD,true,in_stock,135,false,,physical,1,https://www.pokene.com/product-page/pokemon-mega-moonlit-tin-clefable
Nanoblock Pokemon Series - Tyranitar,nanoblock-pokemon-series-tyranitar,,4972825227473,9.99,0,9.99,USD,true,in_stock,9,false,,physical,0.2,https://www.pokene.com/product-page/nanoblock-pokemon-series-tyranitar
Mega Evolution Pokemon Center Elite Trainer Box  Mega Gardevoir,mega-evolution-pokemon-center-elite-trainer-box-mega-gardevoir,Pokemon,,300,225,225,USD,true,in_stock,2,false,,physical,2,https://www.pokene.com/product-page/mega-evolution-pokemon-center-elite-trainer-box-mega-gardevoir
Digimon Starter Deck Mugen Black,digimon-starter-deck-mugen-black,,DIGI-DECK-BLACK,14.99,9.99,9.99,USD,true,in_stock,10,false,,physical,0,https://www.pokene.com/product-page/digimon-starter-deck-mugen-black
Pokemon Scarlet and Violet Sleeved Booster Pack,pokemon-scarlet-and-violet-sleeved-booster-pack,Pokemon,,8.9,0,8.9,USD,false,in_stock,0,false,,physical,0,https://www.pokene.com/product-page/pokemon-scarlet-and-violet-sleeved-booster-pack
Japanese Quintessential Quintuplets Vol.1 Booster Box,the-quintessential-quintuplets-card-game-vol-1-booster-box-bp1,Weiss Schwarz,QUINQUIN-VOL1-BOX ,1000,0,1000,USD,true,in_stock,6,false,,physical,1,https://www.pokene.com/product-page/the-quintessential-quintuplets-card-game-vol-1-booster-box-bp1
